Hotel Name,Price (SAR),Rating,Reviews,Address,Check-in,Check-out,Search Area,Religious_Context,Latitude,Longitude,Stay_Duration,City_Madinah,City_Makkah,City_Taif,Season_Type_Hajj Peak,Season_Type_Pre-Hajj,Season_Type_Ramadan Season,Season_Type_Regular Umrah,Price_Category_Budget,Price_Category_Mid-Range,Price_Category_Premium,Price_Category_Luxury
Four Points by Sheraton Makkah Al Naseem,-0.16158645049780954,0.2027147951498152,1.1255887530740232,"Lat: 21.3803482, Lng: 39.874021299999995",2026-02-15,2026-02-20,Hotels in Makkah,Regular travel season with moderate hotel demand,21.3803482,39.8740213,0.0,False,True,False,False,False,False,True,True,False,False,False
فندق نوفوتيل ذاخر مكة,-0.19655723193735425,0.2027147951498152,0.5161447070434924,"Lat: 21.445215500000003, Lng: 39.8343673",2026-02-15,2026-02-20,Hotels in Makkah,Regular travel season with moderate hotel demand,21.445215500000003,39.8343673,0.0,False,True,False,False,False,False,True,True,False,False,False
فندق ربا تايم,-0.2130140702618459,0.8769535735213068,0.17282779081113722,"Lat: 21.4708984, Lng: 39.8434205",2026-02-15,2026-02-20,Hotels in Makkah,Regular travel season with moderate hotel demand,21.4708984,39.8434205,0.0,False,True,False,False,False,False,True,True,False,False,False
هوليداي إن مكة العزيزية,-0.1897002159688161,-0.2467777237645132,0.7425465492625714,"Lat: 21.4163086, Lng: 39.860443",2026-02-15,2026-02-20,Hotels in Makkah,Regular travel season with moderate hotel demand,21.4163086,39.860443,0.0,False,True,False,False,False,False,True,True,False,False,False
فندق كوبثورن مكة النسيم,-0.15404373293241752,0.2027147951498152,-0.21139863566527406,"Lat: 21.3808384, Lng: 39.8727707",2026-02-15,2026-02-20,Hotels in Makkah,Regular travel season with moderate hotel demand,21.3808384,39.8727707,0.0,False,True,False,False,False,False,True,True,False,False,False
فندق برج الهاشمية,-0.30215527785284224,-0.6962702426788416,-0.3348807626387803,"Lat: 21.4094637, Lng: 39.802396699999996",2026-02-15,2026-02-20,Hotels in Makkah,Regular travel season with moderate hotel demand,21.4094637,39.8023967,0.0,False,True,False,False,False,False,True,True,False,False,False
Blue Coral Hotel,-0.21027126387443063,-0.47152398322167743,-0.33208169088523964,"Lat: 21.4250708, Lng: 39.791454099999996",2026-02-15,2026-02-20,Hotels in Makkah,Regular travel season with moderate hotel demand,21.4250708,39.7914541,0.0,False,True,False,False,False,False,True,True,False,False,False
فندق فيوليت الششه,-0.24524204531397537,-0.2467777237645132,0.09391549868247108,"Lat: 21.4348187, Lng: 39.8499244",2026-02-15,2026-02-20,Hotels in Makkah,Regular travel season with moderate hotel demand,21.4348187,39.8499244,0.0,False,True,False,False,False,False,True,True,False,False,False
فندق ميلينيوم مكة النسيم,-0.1567865393198328,0.42746105460697836,1.0515210082111006,"Lat: 21.380888499999998, Lng: 39.8720317",2026-02-15,2026-02-20,Hotels in Makkah,Regular travel season with moderate hotel demand,21.3808885,39.8720317,0.0,False,True,False,False,False,False,True,True,False,False,False
فندق أبراج الكسوة,-0.10261611316838117,-0.47152398322167743,1.5839905810192627,"Lat: 21.4291537, Lng: 39.8133742",2026-02-15,2026-02-20,Hotels in Makkah,Regular travel season with moderate hotel demand,21.4291537,39.8133742,0.0,False,True,False,False,False,False,True,False,True,False,False
ماريوت كورت يارد,-0.046388582226368075,0.6522073140641436,-0.24380327404280275,"Lat: 21.4041529, Lng: 39.8304166",2026-02-15,2026-02-20,Hotels in Makkah,Regular travel season with moderate hotel demand,21.4041529,39.8304166,0.0,False,True,False,False,False,False,True,False,True,False,False
دبل تري من هيلتون مكة العزيزية,-0.0923305892155739,0.6522073140641436,0.02932153513922457,"Lat: 21.4010098, Lng: 39.872546199999995",2026-02-15,2026-02-20,Hotels in Makkah,Regular travel season with moderate hotel demand,21.4010098,39.8725462,0.0,False,True,False,False,False,False,True,False,True,False,False
فندق ومركز مؤتمرات هيلتون جبل عمر مكة,0.6921120375851941,1.10169983297847,1.6114430155251425,"Lat: 21.422803599999998, Lng: 39.82008580000001",2026-02-15,2026-02-20,Hotels in Makkah,Regular travel season with moderate hotel demand,21.4228036,39.82008580000001,0.0,False,True,False,False,False,False,True,False,False,False,True
فندق إيلاف قنوان,-0.21575687664926116,0.42746105460697836,-0.23336058326997788,"Lat: 21.415976999999998, Lng: 39.8065384",2026-02-15,2026-02-20,Hotels in Makkah,Regular travel season with moderate hotel demand,21.415977,39.8065384,0.0,False,True,False,False,False,False,True,True,False,False,False
فندق بولمان زمزم مكة,0.8683373479766254,1.10169983297847,6.161980090540953,"Lat: 21.4196355, Lng: 39.8237376",2026-02-15,2026-02-20,Hotels in Makkah,Regular travel season with moderate hotel demand,21.4196355,39.8237376,0.0,False,True,False,False,False,False,True,False,False,False,True
فندق الإباء,0.06880928604507339,-0.2467777237645132,-0.1670441140322448,"Lat: 21.4244292, Lng: 39.816535200000004",2026-02-15,2026-02-20,Hotels in Makkah,Regular travel season with moderate hotel demand,21.4244292,39.8165352,0.0,False,True,False,False,False,False,True,False,True,False,False
فندق أبراج المسك | ABRAJ ALMISK HOTEL,-0.22192819102094555,-0.2467777237645132,-0.19621905423261116,"Lat: 21.4275144, Lng: 39.8058432",2026-02-15,2026-02-20,Hotels in Makkah,Regular travel season with moderate hotel demand,21.4275144,39.8058432,0.0,False,True,False,False,False,False,True,True,False,False,False
فندق العنوان جبل عمر مكة,0.8436520904898879,1.10169983297847,1.3604954671596297,"Lat: 21.4215625, Lng: 39.8188125",2026-02-15,2026-02-20,Hotels in Makkah,Regular travel season with moderate hotel demand,21.4215625,39.8188125,0.0,False,True,False,False,False,False,True,False,False,False,True
سرايا سين للشقق المخدومة - Two-Bedroom Studio Apartment,-0.24592774691082916,-0.02203146430735001,-0.3736371407647282,"Lat: 21.465499877929688, Lng: 39.802490234375",2026-02-15,2026-02-20,Hotels in Makkah,Regular travel season with moderate hotel demand,21.465499877929688,39.802490234375,0.0,False,True,False,False,False,False,True,True,False,False,False
Zwar Alharam Makkah Hotel - Family Room,-0.12935847544568008,-0.02203146430735001,-0.3736371407647282,"Lat: 21.43478012084961, Lng: 39.81903839111328",2026-02-15,2026-02-20,Hotels in Makkah,Regular travel season with moderate hotel demand,21.43478012084961,39.81903839111328,0.0,False,True,False,False,False,False,True,False,True,False,False
فندق الميقات اجياد,-0.09095918602186626,-0.9210165021360048,-0.33208169088523964,"Lat: 21.4197991, Lng: 39.828957599999995",2026-02-15,2026-02-20,Hotels near Masjid al Haram,Regular travel season with moderate hotel demand,21.4197991,39.8289576,0.0,False,True,False,False,False,False,True,False,True,False,False
تلال جبل الكعبة,0.7311970286058618,0.42746105460697836,0.2944797554842515,"Lat: 21.425438300000003, Lng: 39.819535099999996",2026-02-15,2026-02-20,Hotels near Masjid al Haram,Regular travel season with moderate hotel demand,21.425438300000003,39.8195351,0.0,False,True,False,False,False,False,True,False,False,False,True
نور الصلاح,-0.09095918602186626,-2.269494058878989,-0.3359573286978344,"Lat: 21.4261777, Lng: 39.8193602",2026-02-15,2026-02-20,Hotels near Masjid al Haram,Regular travel season with moderate hotel demand,21.4261777,39.8193602,0.0,False,True,False,False,False,False,True,False,True,False,False
فندق ازكى المقام,-0.09095918602186626,-0.2467777237645132,0.037503437188035796,"Lat: 21.4201089, Lng: 39.8280633",2026-02-15,2026-02-20,Hotels near Masjid al Haram,Regular travel season with moderate hotel demand,21.4201089,39.8280633,0.0,False,True,False,False,False,False,True,False,True,False,False
أبراج الساعة مكة المكرمه,-0.09095918602186626,1.3264460924356352,6.207841804656658,"Lat: 21.4191164, Lng: 39.8255149",2026-02-15,2026-02-20,Hotels near Masjid al Haram,Regular travel season with moderate hotel demand,21.4191164,39.8255149,0.0,False,True,False,False,False,False,True,False,True,False,False
فندق جراند زمزم,-0.09095918602186626,0.8769535735213068,-0.36922321992260637,"Lat: 21.4187536, Lng: 39.824337899999996",2026-02-15,2026-02-20,Hotels near Masjid al Haram,Regular travel season with moderate hotel demand,21.4187536,39.8243379,0.0,False,True,False,False,False,False,True,False,True,False,False
الصفوة رويال أوركيد,0.8498234048615723,0.2027147951498152,0.4853549177545449,"Lat: 21.4196875, Lng: 39.82656250000001",2026-02-15,2026-02-20,Hotels near Masjid al Haram,Regular travel season with moderate hotel demand,21.4196875,39.82656250000001,0.0,False,True,False,False,False,False,True,False,False,False,True
فندق برج الجوار,-0.09095918602186626,-1.3705090210503332,-0.2980622034191298,"Lat: 21.419297999999998, Lng: 39.8280641",2026-02-15,2026-02-20,Hotels near Masjid al Haram,Regular travel season with moderate hotel demand,21.419298,39.8280641,0.0,False,True,False,False,False,False,True,False,True,False,False
Adress,-0.09095918602186626,-0.6962702426788416,-0.37094572561709294,"Lat: 21.4216489, Lng: 39.8188332",2026-02-15,2026-02-20,Hotels near Masjid al Haram,Regular travel season with moderate hotel demand,21.4216489,39.8188332,0.0,False,True,False,False,False,False,True,False,True,False,False
فندق ميره اجياد مكة,-0.09095918602186626,-0.02203146430735001,-0.2385281003534376,"Lat: 21.4206202, Lng: 39.830363999999996",2026-02-15,2026-02-20,Hotels near Masjid al Haram,Regular travel season with moderate hotel demand,21.4206202,39.830364,0.0,False,True,False,False,False,False,True,False,True,False,False
مآثر الإيمان أجياد,-0.09095918602186626,-0.9210165021360048,-0.27491603314946644,"Lat: 21.4175564, Lng: 39.8292837",2026-02-15,2026-02-20,Hotels near Masjid al Haram,Regular travel season with moderate hotel demand,21.4175564,39.8292837,0.0,False,True,False,False,False,False,True,False,True,False,False
