Hotel Name,Price (SAR),Rating,Reviews,Address,City,Check-in,Check-out,Search Area,Season_Type,Religious_Context
Four Points by Sheraton Makkah Al Naseem,‏٢٦٨ ر.س.‏,4.2,13926.0,"Lat: 21.3803482, Lng: 39.874021299999995",Makkah,2026-02-15,2026-02-20,Hotels in Makkah,Regular Umrah,Regular travel season with moderate hotel demand
فندق نوفوتيل ذاخر مكة,‏٢١٧ ر.س.‏,4.2,8265.0,"Lat: 21.445215500000003, Lng: 39.8343673",Makkah,2026-02-15,2026-02-20,Hotels in Makkah,Regular Umrah,Regular travel season with moderate hotel demand
فندق ربا تايم,‏١٩٣ ر.س.‏,4.5,5076.0,"Lat: 21.4708984, Lng: 39.8434205",Makkah,2026-02-15,2026-02-20,Hotels in Makkah,Regular Umrah,Regular travel season with moderate hotel demand
هوليداي إن مكة العزيزية,‏٢٢٧ ر.س.‏,4.0,10368.0,"Lat: 21.4163086, Lng: 39.860443",Makkah,2026-02-15,2026-02-20,Hotels in Makkah,Regular Umrah,Regular travel season with moderate hotel demand
فندق كوبثورن مكة النسيم,‏٢٧٩ ر.س.‏,4.2,1507.0,"Lat: 21.3808384, Lng: 39.8727707",Makkah,2026-02-15,2026-02-20,Hotels in Makkah,Regular Umrah,Regular travel season with moderate hotel demand
فندق برج الهاشمية,‏٦٣ ر.س.‏,3.8,360.0,"Lat: 21.4094637, Lng: 39.802396699999996",Makkah,2026-02-15,2026-02-20,Hotels in Makkah,Regular Umrah,Regular travel season with moderate hotel demand
Blue Coral Hotel,‏١٩٧ ر.س.‏,3.9,386.0,"Lat: 21.4250708, Lng: 39.791454099999996",Makkah,2026-02-15,2026-02-20,Hotels in Makkah,Regular Umrah,Regular travel season with moderate hotel demand
فندق فيوليت الششه,‏١٤٦ ر.س.‏,4.0,4343.0,"Lat: 21.4348187, Lng: 39.8499244",Makkah,2026-02-15,2026-02-20,Hotels in Makkah,Regular Umrah,Regular travel season with moderate hotel demand
فندق ميلينيوم مكة النسيم,‏٢٧٥ ر.س.‏,4.3,13238.0,"Lat: 21.380888499999998, Lng: 39.8720317",Makkah,2026-02-15,2026-02-20,Hotels in Makkah,Regular Umrah,Regular travel season with moderate hotel demand
فندق أبراج الكسوة,‏٣٥٤ ر.س.‏,3.9,18184.0,"Lat: 21.4291537, Lng: 39.8133742",Makkah,2026-02-15,2026-02-20,Hotels in Makkah,Regular Umrah,Regular travel season with moderate hotel demand
ماريوت كورت يارد,‏٤٣٦ ر.س.‏,4.4,1206.0,"Lat: 21.4041529, Lng: 39.8304166",Makkah,2026-02-15,2026-02-20,Hotels in Makkah,Regular Umrah,Regular travel season with moderate hotel demand
دبل تري من هيلتون مكة العزيزية,‏٣٦٩ ر.س.‏,4.4,3743.0,"Lat: 21.4010098, Lng: 39.872546199999995",Makkah,2026-02-15,2026-02-20,Hotels in Makkah,Regular Umrah,Regular travel season with moderate hotel demand
فندق ومركز مؤتمرات هيلتون جبل عمر مكة,‏١٬٥١٣ ر.س.‏,4.6,18439.0,"Lat: 21.422803599999998, Lng: 39.82008580000001",Makkah,2026-02-15,2026-02-20,Hotels in Makkah,Regular Umrah,Regular travel season with moderate hotel demand
فندق إيلاف قنوان,‏١٨٩ ر.س.‏,4.3,1303.0,"Lat: 21.415976999999998, Lng: 39.8065384",Makkah,2026-02-15,2026-02-20,Hotels in Makkah,Regular Umrah,Regular travel season with moderate hotel demand
فندق بولمان زمزم مكة,‏١٬٧٧٠ ر.س.‏,4.6,60708.0,"Lat: 21.4196355, Lng: 39.8237376",Makkah,2026-02-15,2026-02-20,Hotels in Makkah,Regular Umrah,Regular travel season with moderate hotel demand
فندق الإباء,‏٦٠٤ ر.س.‏,4.0,1919.0,"Lat: 21.4244292, Lng: 39.816535200000004",Makkah,2026-02-15,2026-02-20,Hotels in Makkah,Regular Umrah,Regular travel season with moderate hotel demand
فندق أبراج المسك | ABRAJ ALMISK HOTEL,‏١٨٠ ر.س.‏,4.0,1648.0,"Lat: 21.4275144, Lng: 39.8058432",Makkah,2026-02-15,2026-02-20,Hotels in Makkah,Regular Umrah,Regular travel season with moderate hotel demand
فندق العنوان جبل عمر مكة,‏١٬٧٣٤ ر.س.‏,4.6,16108.0,"Lat: 21.4215625, Lng: 39.8188125",Makkah,2026-02-15,2026-02-20,Hotels in Makkah,Regular Umrah,Regular travel season with moderate hotel demand
سرايا سين للشقق المخدومة - Two-Bedroom Studio Apartment,‏١٤٥ ر.س.‏,,,"Lat: 21.465499877929688, Lng: 39.802490234375",Makkah,2026-02-15,2026-02-20,Hotels in Makkah,Regular Umrah,Regular travel season with moderate hotel demand
Zwar Alharam Makkah Hotel - Family Room,‏٣١٥ ر.س.‏,,,"Lat: 21.43478012084961, Lng: 39.81903839111328",Makkah,2026-02-15,2026-02-20,Hotels in Makkah,Regular Umrah,Regular travel season with moderate hotel demand
فندق الميقات اجياد,,3.7,386.0,"Lat: 21.4197991, Lng: 39.828957599999995",Makkah,2026-02-15,2026-02-20,Hotels near Masjid al Haram,Regular Umrah,Regular travel season with moderate hotel demand
تلال جبل الكعبة,‏١٬٥٧٠ ر.س.‏,4.3,6206.0,"Lat: 21.425438300000003, Lng: 39.819535099999996",Makkah,2026-02-15,2026-02-20,Hotels near Masjid al Haram,Regular Umrah,Regular travel season with moderate hotel demand
نور الصلاح,,3.1,350.0,"Lat: 21.4261777, Lng: 39.8193602",Makkah,2026-02-15,2026-02-20,Hotels near Masjid al Haram,Regular Umrah,Regular travel season with moderate hotel demand
فندق ازكى المقام,,4.0,3819.0,"Lat: 21.4201089, Lng: 39.8280633",Makkah,2026-02-15,2026-02-20,Hotels near Masjid al Haram,Regular Umrah,Regular travel season with moderate hotel demand
